Names,Race or Ethnicity
"Coggins, Donald Cecil, Jr.",White
"Cohen, Mark Howard",White
"Cohn, James I.",White
"Cole, Douglas Russell",White
"Collier, Lacey A.",White
"Collins, Daniel Paul",White
"Colloton, Steven M.",White
"Collyer, Rosemary M.",White
"Colville, Robert John",White
"Conley, William Martin",White
"Conlon, Suzanne B.",White
"Conmy, Patrick Anthony",White
"Conner, Christopher C.",White
"Connolly, Colm Felix",White
"Conrad, Robert James, Jr.",White
"Conti, Joy Flowers",White
"Conway, Anne C.",White
"Coogler, L. Scott",White
"Cook, Deborah L.",White
"Cooper, Mary Little",White
"Copenhaver, John Thomas, Jr.",White
"Corker, Clifton Leland",White
"Corley, Jacqueline Scott",White
"Corrigan, Timothy J.",White
"Cote, Denise",White
"Coughenour, John C.",White
"Counts, Walter David III",White
"Covello, Alfred V.",White
"Cowen, Robert E.",White
"Cox, Sean Francis",White
"Crabb, Barbara Brandriff",White
"Crabtree, Daniel Dale",White
"Crawford, Geoffrey William",White
"Cronan, John Peter",White
"Crone, Marcia A.",White
"Crotty, Paul Austin",White
"Crouse, Toby Jon",White
"Crytzer, Katherine Amber",White
"Cullen, Thomas Tullidge",White
"Cummings, Samuel Ray",White
"Currie, Cameron McGowan",White
"D'Agostino, Mae Avila",White
"Dalton, Roy Bale, Jr.",White
"Darrow, Sara Lynn",White
"Daughtrey, Martha Craig",White
"Davidson, Glen H.",White
"Davis, Mark Steven",White
"Davis, W. Eugene",White
"Dawson, Kent J.",White
"Dawson, Robert Toombs",White
"Dearie, Raymond Joseph",White
"DeGiusti, Timothy D.",White
"deGravelles, John Wheadon",White
"DeGuilio, Jon Ernest",White
"Dennis, James L.",White
"Dever, James C. III",White
"Diamond, Paul Steven",White
"Dick, Shelly Deckert",White
"Dillon, Elizabeth Kay",White
"Dimitrouleas, William P.",White
"Dimke, Mary Katherine",White
"Dimmick, Carolyn R.",White
"Dishman, Jodi Warmbrod",White
"Dlott, Susan J.",White
"Domenico, Daniel Desmond",White
"Donato, James",White
"Donnelly, Ann Marie",White
"Dooley, Kari Anne",White
"Dorsey, Jennifer Anna",White
"Doty, David Singleton",White
"Doughty, Terry Alvin",White
"Dow, Robert Michael, Jr.",White
"Dowdell, John Edward",White
