State,Names,Gender
Eastern Pennsylvania,"Sánchez, Juan Ramon",Male
Eastern Pennsylvania,"Rufe, Cynthia M.",Female
Eastern Pennsylvania,"Quiñones Alejandro, Nitza Ileana",Female
Eastern Pennsylvania,"Davis, Legrome D.",Male
Eastern Pennsylvania,"Diamond, Paul Steven",Male
Eastern Pennsylvania,"Pratter, Gene E.K.",Female
Eastern Pennsylvania,"Perez, Mia Roberts",Female
Eastern Pennsylvania,"Pappert, Gerald John",Male
Eastern Pennsylvania,"Padova, John R.",Male
Eastern Pennsylvania,"Murphy, John Frank",Male
Eastern Pennsylvania,"Buckwalter, Ronald Lawrence",Male
Eastern Pennsylvania,"DuBois, Jan Ely",Male
Eastern Pennsylvania,"Gallagher, John Michael",Male
Eastern Pennsylvania,"Goldberg, Mitchell S.",Male
Eastern Pennsylvania,"Hodge, Kelley Brisbon",Female
Eastern Pennsylvania,"Bartle, Harvey III",Male
Eastern Pennsylvania,"Baylson, Michael M.",Male
Eastern Pennsylvania,"Schiller, Berle M.",Male
Eastern Pennsylvania,"Jones, C. Darnell II",Male
Eastern Pennsylvania,"Kearney, Mark A.",Male
Eastern Pennsylvania,"Beetlestone, Wendy",Female
Eastern Pennsylvania,"Kelly, Robert F.",Male
Eastern Pennsylvania,"Kenney, Chad Francis, Sr.",Male
Eastern Pennsylvania,"McHugh, Gerald Austin, Jr.",Male
Eastern Pennsylvania,"Leeson, Joseph F., Jr.",Male
Eastern Pennsylvania,"Schmehl, Jeffrey L.",Male
Eastern Pennsylvania,"Brody, Anita Blumstein",Female
Eastern Pennsylvania,"Slomsky, Joel Harvey",Male
Eastern Pennsylvania,"Surrick, R[ichard] Barclay",Male
Eastern Pennsylvania,"Tucker, Petrese B.",Female
Eastern Pennsylvania,"Wolson, Joshua David",Male
Eastern Pennsylvania,"Yohn, William Hendricks, Jr.",Male
Eastern Pennsylvania,"Younge, John Milton",Male
Eastern Pennsylvania,"Scott, Kai Niambi",Female
Eastern Tennessee,"Atchley, Charles Edward, Jr.",Male
Eastern Tennessee,"Collier, Curtis Lynn",Male
Eastern Tennessee,"Corker, Clifton Leland",Male
Eastern Tennessee,"Jordan, Robert Leon",Male
Eastern Tennessee,"Varlan, Thomas A.",Male
Eastern Tennessee,"Phillips, Thomas W.",Male
Eastern Tennessee,"Greer, J. Ronnie",Male
Eastern Tennessee,"Edgar, Robert Allan",Male
Eastern Tennessee,"Crytzer, Katherine Amber",Female
Eastern Tennessee,"McDonough, Travis Randall",Male
Eastern Texas,"Truncale, Michael Joseph",Male
Eastern Texas,"Schroeder, Robert William III",Male
Eastern Texas,"Clark, Ron",Male
Eastern Texas,"Mazzant, Amos Louis III",Male
Eastern Texas,"Barker, J. Campbell",Male
Eastern Texas,"Crone, Marcia A.",Female
Eastern Texas,"Gilstrap, James Rodney",Male
Eastern Texas,"Schell, Richard A.",Male
Eastern Texas,"Kernodle, Jeremy Daniel",Male
Eastern Texas,"Jordan, Sean D.",Male
Eastern Virginia,"Hilton, Claude M.",Male
Eastern Virginia,"Allen, Arenda Lauretta Wright",Female
Eastern Virginia,"Alston, Rossie David, Jr.",Male
Eastern Virginia,"Davis, Mark Steven",Male
Eastern Virginia,"Brinkema, Leonie M.",Female
