,Names,Race or Ethnicity
0,"Humetewa, Diane Joyce",Indigenous American
1,"King, Lauren Jennifer",Indigenous American
2,"Seay, Frank Howell",Indigenous American
3,"Sykes, Sunshine Suzanne",Indigenous American
