,Names,Race or Ethnicity
794,"Quackenbush, Justin Lowe",White
795,"Quattlebaum, A. Marvin, Jr.",White
796,"Quist, Gordon Jay",White
797,"Raggi, Reena",White
798,"Rainey, John David",White
799,"Rakoff, Jed Saul",White
800,"Rambo, Sylvia H.",White
801,"Randolph, Arthur Raymond",White
802,"Rash, Scott Hugh",White
803,"Ray, William McCrary II",White
804,"Rayes, Douglas Leroy",White
805,"Reade, Linda R.",White
806,"Readler, Chad Andrew",White
807,"Rearden, Jennifer Hutchison",White
808,"Reeves, Danny C.",White
809,"Reidinger, Martin Karl",White
810,"Reif, Timothy Mark",White
811,"Reinhard, Philip Godfrey",White
812,"Reiss, Christina Clair",White
813,"Rendell, Marjorie O.",White
814,"Restani, Jane A.",White
815,"Rice, Thomas Owen",White
816,"Rice, Walter Herbert",White
817,"Richardson, Eli Jeremy",White
818,"Richardson, Julius Ness",White
819,"Richman, Priscilla",White
820,"Ridgway, Delissa Anne",White
821,"Riggs, Kea Whetzal",White
822,"Rikelman, Julie",White
823,"Ripple, Kenneth Francis",White
824,"Robart, James L.",White
825,"Roberts, John Glover, Jr.",White
826,"Robinson, Beth",White
827,"Robinson, Todd Wallace",White
828,"Rochon, Jennifer Louise",White
829,"Rodgers, Margaret Catharine",White
830,"Rogers, John M.",White
831,"Rose, Stephanie Marie",White
832,"Rose, Thomas M.",White
833,"Rosenbaum, Robin Stacie",White
834,"Rosenberg, Robin Lee",White
835,"Rosenstengel, Nancy Jo",White
836,"Rosenthal, Lee Hyman",White
837,"Ross, Allyne R.",White
838,"Ross, John Andrew",White
839,"Rossiter, Robert F., Jr.",White
840,"Rossman, Veronica Sophia",White
841,"Roth, Jane Richards",White
842,"Rothstein, Barbara Jacobs",White
843,"Rovner, Ilana Kara Diamond",White
844,"Rowland, Mary Margaret",White
845,"Royal, C. Ashley",White
846,"Rubin, Julie Rebecca",White
847,"Rudofsky, Lee Philip",White
848,"Rufe, Cynthia M.",White
849,"Rushing, Allison Jones",White
850,"Russell, David Lynn",White
851,"Ryan, James Leo",White
852,"Sachs, Howard Frederic",White
853,"Sack, Robert David",White
854,"Sam, David",White
855,"Sammartino, Janis Lynn",White
856,"Sannes, Brenda Kay",White
857,"Sargus, Edmund A., Jr.",White
858,"Saris, Patti B.",White
859,"Savage, Timothy J.",White
860,"Saylor, F. Dennis IV",White
861,"Scarsi, Mark Christopher",White
862,"Schall, Alvin Anthony",White
863,"Schell, Richard A.",White
864,"Schelp, Matthew Thomas",White
865,"Schiller, Berle M.",White
866,"Schiltz, Patrick Joseph",White
867,"Schlesinger, Harvey Erwin",White
868,"Schmehl, Jeffrey L.",White
869,"Schopler, Andrew George",White
870,"Schreier, Karen E.",White
871,"Schroeder, Mary Murphy",White
872,"Schroeder, Robert William III",White
873,"Schroeder, Thomas D.",White
874,"Schwab, Arthur J.",White
875,"Scirica, Anthony Joseph",White
876,"Scola, Robert Nichols, Jr.",White
877,"Scudder, Michael Yale, Jr.",White
878,"Scullin, Frederick James, Jr.",White
879,"Seabright, J[ohn] Michael",White
880,"Sedwick, John W.",White
881,"Seeborg, Richard G.",White
882,"Seeger, Steven Charles",White
883,"Seibel, Cathy",White
884,"Seitz, Patricia A.",White
885,"Self, Tilman Eugene III",White
886,"Selna, James V.",White
887,"Selya, Bruce Marshall",White
888,"Sentelle, David Bryan",White
889,"Sessions, William K. III",White
890,"Settle, Benjamin Hale",White
891,"Seybert, Joanna",White
892,"Seymour, Stephanie Kulp",White
893,"Shadid, James Edward",White
894,"Sharpe, Gary L.",White
895,"Shea, Edward F.",White
896,"Shea, Michael P.",White
897,"Shelby, Robert James",White
898,"Shepherd, Bobby E.",White
899,"Sheridan, Peter G.",White
900,"Shubb, William B.",White
901,"Shwartz, Patty",White
902,"Siler, Eugene Edward, Jr.",White
903,"Silver, Roslyn O.",White
904,"Silverman, Barry G.",White
905,"Simon, Michael H.",White
906,"Simon, Philip P.",White
907,"Simpson, Charles Ralph III",White
908,"Sinatra, John Leonard, Jr.",White
909,"Singal, George Z.",White
910,"Singleton, James Keith, Jr.",White
911,"Sippel, Rodney W.",White
912,"Siragusa, Charles J.",White
913,"Skavdahl, Scott Wesley",White
914,"Skretny, William M.",White
915,"Slomsky, Joel Harvey",White
916,"Smith, Charles Lynwood, Jr.",White
917,"Smith, D[avid] Brooks",White
918,"Smith, Jerry Edwin",White
919,"Smith, Milan Dale, Jr.",White
920,"Smith, N[orman] Randy",White
921,"Smith, Ortrie D.",White
922,"Smith, Rebecca Beach",White
923,"Smith, William E.",White
924,"Snow, G. Murray",White
925,"Snyder, Christina A.",White
926,"Sorokin, Leo Theodore",White
927,"Souter, David Hackett",White
928,"Southwick, Leslie",White
929,"Sparks, Sam",White
930,"Springmann, Theresa Lazar",White
931,"St. Eve, Amy Joan",White
932,"Stadtmueller, Joseph Peter",White
933,"Stafford, William Henry, Jr.",White
934,"Stamp, Frederick Pfarr, Jr.",White
935,"Stanceu, Timothy C.",White
936,"Stanton, Louis Lee",White
937,"Stapleton, Walter King",White
938,"Stark, Leonard Philip",White
939,"Starr, Brantley David",White
940,"Starrett, Keith",White
941,"Staton, Josephine L.",White
942,"Stearns, Richard Gaylore",White
943,"Steeh, George Caram III",White
944,"Steele, John E.",White
945,"Steele, William H.",White
946,"Stein, Sidney H.",White
947,"Stewart, Brian Theadore",White
948,"Stickman, William Shaw IV",White
949,"Stivers, Gregory N.",White
950,"Story, Richard W.",White
951,"Stranch, Jane Branstetter",White
952,"Strand, Leonard Terry",White
953,"Stras, David Ryan",White
954,"Straub, Chester J.",White
955,"Strickland, Margaret Irene",White
956,"Suddaby, Glenn T.",White
957,"Suhrheinrich, Richard Fred",White
958,"Suko, Lonny R.",White
959,"Sullivan, Richard Joseph",White
960,"Summerhays, Robert Rees",White
961,"Surrick, R[ichard] Barclay",White
962,"Sutton, Jeffrey S.",White
963,"Sweeney, Charlotte Noelle",White
964,"Sweeney, James Russell II",White
965,"Sykes, Diane S.",White
966,"Tallman, Richard C.",White
967,"Taranto, Richard Gary",White
968,"Tatel, David S.",White
969,"Teeter, Holly Lou",White
970,"Teilborg, James A.",White
971,"Thacker, Stephanie Dawn",White
972,"Tharp, John Joseph, Jr.",White
973,"Thomas, Sidney Runyan",White
974,"Thrash, Thomas W., Jr.",White
975,"Thurston, Jennifer Leigh",White
976,"Tigar, Jon Steven",White
977,"Tilley, Norwood Carlton, Jr.",White
978,"Tipton, Drew Barnett",White
979,"Tjoflat, Gerald Bard",White
980,"Todd, James Dale",White
981,"Torresen, Nancy",White
982,"Tostrud, Eric Christian",White
983,"Totenberg, Amy Mil",White
984,"Trauger, Aleta Arthur",White
985,"Traum, Anne Rachel",White
986,"Traxler, William Byrd, Jr.",White
987,"Traynor, Daniel Mack",White
988,"Treadwell, Marc Thomas",White
989,"Trenga, Anthony John",White
990,"Trimble, James Travis, Jr.",White
991,"Trott, Stephen S.",White
992,"Truncale, Michael Joseph",White
993,"Tuchi, John Joseph",White
994,"Tunheim, John R.",White
995,"Tymkovich, Timothy M.",White
996,"Underhill, Stefan R.",White
997,"Urbanski, Michael Francis",White
998,"Vaden, Stephen Alexander",White
999,"Van Bokkelen, Joseph S.",White
1000,"Van Tatenhove, Gregory Frederick",White
1001,"Vance, Sarah S.",White
1002,"VanDyke, Lawrence James Christopher",White
1003,"Varlan, Thomas A.",White
1004,"Vilardo, Lawrence Joseph",White
1005,"Vitaliano, Eric Nicholas",White
1006,"Vitter, Wendy Baldwin",White
1007,"Volk, Frank William",White
1008,"Voorhees, Richard Lesley",White
1009,"Vratil, Kathryn Hoefer",White
1010,"Vyskocil, Mary Kay",White
1011,"Waddoups, Clark",White
1012,"Wake, Neil Vincent",White
1013,"Walker, John Mercer, Jr.",White
1014,"Walker, Justin Reed",White
1015,"Walker, Lance Edward",White
1016,"Walker, Mark Eaton",White
1017,"Wallace, John Clifford",White
1018,"Wallach, Evan Jonathan",White
1019,"Walter, Donald Ellsworth",White
1020,"Walter, John F.",White
1021,"Watkins, William Keith",White
1022,"Watson, Michael H.",White
1023,"Watters, Susan Pamela",White
1024,"Webber, E. Richard",White
1025,"Weber, Herman Jacob",White
1026,"Welte, Peter David",White
1027,"Werlein, Ewing, Jr.",White
1028,"Wesley, Richard C.",White
1029,"Wetherell, T. Kent II",White
1030,"Whaley, Robert H.",White
1031,"Whelan, Thomas J.",White
1032,"Whipple, Dean",White
1033,"White, Helene N.",White
1034,"White, Jeffrey Steven",White
1035,"White, Ronald A.",White
1036,"Whitney, Frank DeArmon",White
1037,"Whittemore, James D.",White
1038,"Wiegand, Christy Criswell",White
1039,"Wiener, Jacques Loeb, Jr.",White
1040,"Wier, Robert Earl",White
1041,"Wilken, Claudia Ann",White
1042,"Wilkinson, James Harvie III",White
1043,"Willett, Don R.",White
1044,"Williams, Charles Joseph",White
1045,"Williams, Kathleen Mary",White
1046,"Wilson, Billy Roy",White
1047,"Wilson, Cory Todd",White
1048,"Wilson, Jennifer Philpott",White
1049,"Wilson, Stephen Victor",White
1050,"Winmill, B. Lynn",White
1051,"Winsor, Allen Cothrel",White
1052,"Wolf, Mark Lawrence",White
1053,"Wolford, Elizabeth Ann",White
1054,"Wollman, Roger Leland",White
1055,"Wolson, Joshua David",White
1056,"Wood, Diane Pamela",White
1057,"Wood, Kimba Maureen",White
1058,"Wood, Lisa Godbey",White
1059,"Woodcock, John A., Jr.",White
1060,"Woodlock, Douglas Preston",White
1061,"Wooten, Terry L.",White
1062,"Wright, Susan Webber",White
1063,"Wyrick, Patrick Robert",White
1064,"Xinis, Paula",White
1065,"Yohn, William Hendricks, Jr.",White
1066,"Young, Richard L.",White
1067,"Young, William G.",White
1068,"Zainey, Jay C.",White
1069,"Zilly, Thomas Samuel",White
1070,"Zipps, Jennifer Guerin",White
1071,"Zloch, William J.",White
1072,"Zobel, Rya Weickert",White
1073,"Zouhary, Jack",White
