level_0,index,State,Female_Count,Hispanic_Count,African_American_Count,American_Indian_Count,White_Count,Total_Judges,Female_Percentage,White_Percentage,Sentence
0,0,New Jersey,12,3,6,0,16,26,46.0,62.0,"Number of judges: 26, African American: 6, Hispanic: 3"
1,1,South Carolina,4,0,1,0,12,13,31.0,92.0,"Number of judges: 13, African American: 1, Hispanic: 0"
