State,Names,Gender
Eastern_California,"Mendez, John A.",Male
Eastern_California,"Mueller, Kimberly Jo",Female
Eastern_California,"Nunley, Troy Lynne",Male
Eastern_California,"O'Neill, Lawrence Joseph",Male
Eastern_California,"Shubb, William B.",Male
Eastern_California,"Thurston, Jennifer Leigh",Female
Southern_Illinois,"Dugan, David Wayne",Male
Southern_Illinois,"Gilbert, John Phil",Male
Southern_Illinois,"McGlynn, Stephen Patrick",Male
Southern_Illinois,"Rosenstengel, Nancy Jo",Female
Southern_Illinois,"Yandle, Staci Michelle",Female
Minnesota,"Alsop, Donald Douglas",Male
Minnesota,"Blackwell, Jerry Wayne",Male
Minnesota,"Brasel, Nancy Ellen",Female
Minnesota,"Bryan, Jeffrey Marc",Male
Minnesota,"Davis, Michael James",Male
Minnesota,"Doty, David Singleton",Male
Minnesota,"Ericksen, Joan N.",Female
Minnesota,"Frank, Donovan W.",Male
Minnesota,"Magnuson, Paul Arthur",Male
Minnesota,"Menendez, Katherine Marie",Female
Minnesota,"Montgomery, Ann D.",Female
Minnesota,"Nelson, Susan Richard",Female
Minnesota,"Schiltz, Patrick Joseph",Male
Minnesota,"Tostrud, Eric Christian",Male
Minnesota,"Tunheim, John R.",Male
Minnesota,"Wright, Wilhelmina Marie",Female
Maryland,"Bennett, Richard D.",Male
Maryland,"Blake, Catherine C.",Female
Maryland,"Boardman, Deborah Lynn",Female
Maryland,"Bredar, James Kelleher",Male
Maryland,"Chasanow, Deborah K.",Female
Maryland,"Chuang, Theodore David",Male
Maryland,"Gallagher, Stephanie Agli",Female
Maryland,"Griggsby, Lydia Kay",Female
Maryland,"Hollander, Ellen Lipton",Female
Maryland,"Hurson, Brendan Abell",Male
Maryland,"Maddox, Matthew James",Male
Maryland,"Messitte, Peter Jo",Male
Maryland,"Nickerson, William M.",Male
Maryland,"Rubin, Julie Rebecca",Female
Maryland,"Russell, George Levi III",Male
Maryland,"Xinis, Paula",Female
Northern_New_York,"D'Agostino, Mae Avila",Female
Northern_New_York,"Hurd, David N.",Male
Northern_New_York,"Kahn, Lawrence E.",Male
Northern_New_York,"McAvoy, Thomas James",Male
Northern_New_York,"Nardacci, Anne Marie",Female
Northern_New_York,"Sannes, Brenda Kay",Female
Northern_New_York,"Scullin, Frederick James, Jr.",Male
Northern_New_York,"Sharpe, Gary L.",Male
Northern_New_York,"Suddaby, Glenn T.",Male
Southern_Indiana,"Barker, Sarah Evans",Female
Southern_Indiana,"Brookman, Matthew Paul",Male
Southern_Indiana,"Hanlon, James Patrick",Male
Southern_Indiana,"Lawrence, William T.",Male
Southern_Indiana,"Magnus-Stinson, Jane Elizabeth",Female
Southern_Indiana,"Pratt, Tanya Walton",Female
Southern_Indiana,"Sweeney, James Russell II",Male
Southern_Indiana,"Young, Richard L.",Male
Eastern Texas,"Barker, J. Campbell",Male
Eastern Texas,"Clark, Ron",Male
Eastern Texas,"Crone, Marcia A.",Female
Eastern Texas,"Gilstrap, James Rodney",Male
Eastern Texas,"Jordan, Sean D.",Male
Eastern Texas,"Kernodle, Jeremy Daniel",Male
Eastern Texas,"Mazzant, Amos Louis III",Male
Eastern Texas,"Schell, Richard A.",Male
Eastern Texas,"Schroeder, Robert William III",Male
Eastern Texas,"Truncale, Michael Joseph",Male
Eastern_Illinois_all_names,,Female
Arizona,"Bolton, Susan Ritchie",Female
Arizona,"Brnovich, Susan Marie",Female
Arizona,"Bury, David C.",Male
Arizona,"Campbell, David G.",Male
Arizona,"Collins, Raner Christercunean",Male
Arizona,"Hinderaker, John Charles",Male
Arizona,"Humetewa, Diane Joyce",Female
Arizona,"Jorgenson, Cindy K.",Female
Arizona,"Lanza, Dominic William",Male
Arizona,"Liburdi, Michael Thomas",Male
Arizona,"Logan, Steven Paul",Male
Arizona,"Márquez, Rosemary",Female
Arizona,"Martone, Frederick J.",Male
Arizona,"McNamee, Stephen M.",Male
Arizona,"Rash, Scott Hugh",Male
Arizona,"Rayes, Douglas Leroy",Male
Arizona,"Silver, Roslyn O.",Female
Arizona,"Snow, G. Murray",Male
Arizona,"Soto, James Alan",Male
Arizona,"Teilborg, James A.",Male
Arizona,"Tuchi, John Joseph",Male
Arizona,"Wake, Neil Vincent",Male
Arizona,"Zapata, Frank R.",Male
Arizona,"Zipps, Jennifer Guerin",Female
Eastern North Carolina,"Boyle, Terrence William",Male
Eastern North Carolina,"Britt, William Earl",Male
Eastern North Carolina,"Dever, James C. III",Male
Eastern North Carolina,"Flanagan, Louise W.",Female
Eastern North Carolina,"Howard, Malcolm Jones",Male
Eastern North Carolina,"Myers, Richard Ernest II",Male
Middle_Louisiana,"Cain, James David, Jr.",Male
Middle_Louisiana,"Doughty, Terry Alvin",Male
Middle_Louisiana,"Drell, Dee D.",Male
Middle_Louisiana,"Foote, Elizabeth Erny",Female
Middle_Louisiana,"Hicks, S. Maurice, Jr.",Male
Middle_Louisiana,"James, Robert Gillespie",Male
Middle_Louisiana,"Joseph, David Cleveland",Male
Middle_Louisiana,"Melancon, Tucker L.",Male
Middle_Louisiana,"Summerhays, Robert Rees",Male
Middle_Louisiana,"Trimble, James Travis, Jr.",Male
Middle_Louisiana,"Walter, Donald Ellsworth",Male
Southern_New_York,"Abrams, Ronnie",Female
Southern_New_York,"Berman, Richard M.",Male
Southern_New_York,"Briccetti, Vincent Louis",Male
Southern_New_York,"Broderick, Vernon Speede",Male
Southern_New_York,"Buchwald, Naomi Reice",Female
