State,Names,Gender,Race and Ethnicity
Western_Missouri,"Laughrey, Nanette Kay",Female,White
Western_Missouri,"Phillips, Mary Elizabeth",Female,White
Western_Missouri,"Sachs, Howard Frederic",Male,White
Western_Missouri,"Sippel, Rodney W.",Male,White
Western_Missouri,"Smith, Ortrie D.",Male,White
Western_Missouri,"Whipple, Dean",Male,White
Western_Missouri,"Wimes, Brian Curtis",Male,African American
Eastern_California,"Burrell, Garland Ellis, Jr.",Male,African American
Eastern_California,"Calabretta, Daniel Joe Powell",Male,White
Eastern_California,"Drozd, Dale Alan",Male,White
Eastern_California,"England, Morrison C., Jr.",Male,African American
Eastern_California,"Ishii, Anthony W.",Male,
Eastern_California,"Mendez, John A.",Male,Hispanic
Eastern_California,"Mueller, Kimberly Jo",Female,White
Eastern_California,"Nunley, Troy Lynne",Male,African American
Eastern_California,"O'Neill, Lawrence Joseph",Male,White
Eastern_California,"Shubb, William B.",Male,White
Eastern_California,"Thurston, Jennifer Leigh",Female,White
Southern_Illinois,"Dugan, David Wayne",Male,
Southern_Illinois,"Gilbert, John Phil",Male,White
Southern_Illinois,"McGlynn, Stephen Patrick",Male,White
Southern_Illinois,"Rosenstengel, Nancy Jo",Female,White
Southern_Illinois,"Yandle, Staci Michelle",Female,African American
Minnesota,"Alsop, Donald Douglas",Male,White
Minnesota,"Blackwell, Jerry Wayne",Male,African American
Minnesota,"Brasel, Nancy Ellen",Female,White
Minnesota,"Bryan, Jeffrey Marc",Male,Hispanic
Minnesota,"Davis, Michael James",Male,African American
Minnesota,"Doty, David Singleton",Male,White
Minnesota,"Ericksen, Joan N.",Female,White
Minnesota,"Frank, Donovan W.",Male,White
Minnesota,"Magnuson, Paul Arthur",Male,White
Minnesota,"Menendez, Katherine Marie",Female,White
Minnesota,"Montgomery, Ann D.",Female,White
Minnesota,"Nelson, Susan Richard",Female,White
Minnesota,"Schiltz, Patrick Joseph",Male,White
Minnesota,"Tostrud, Eric Christian",Male,White
Minnesota,"Tunheim, John R.",Male,White
Minnesota,"Wright, Wilhelmina Marie",Female,African American
Maryland,"Bennett, Richard D.",Male,White
Maryland,"Blake, Catherine C.",Female,White
Maryland,"Boardman, Deborah Lynn",Female,White
Maryland,"Bredar, James Kelleher",Male,White
Maryland,"Chasanow, Deborah K.",Female,White
Maryland,"Chuang, Theodore David",Male,
Maryland,"Gallagher, Stephanie Agli",Female,White
Maryland,"Griggsby, Lydia Kay",Female,
Maryland,"Hollander, Ellen Lipton",Female,White
Maryland,"Hurson, Brendan Abell",Male,White
Maryland,"Maddox, Matthew James",Male,African American
Maryland,"Messitte, Peter Jo",Male,White
Maryland,"Nickerson, William M.",Male,White
Maryland,"Rubin, Julie Rebecca",Female,White
